Date,Open,High,Low,Close,Adj Close,Volume
2018-03-12,38.45000076293945,38.45000076293945,38.099998474121094,38.20000076293945,38.20000076293945,180573
2018-03-13,38.209999084472656,38.279998779296875,37.7599983215332,37.83000183105469,37.83000183105469,175507
2018-03-14,37.83000183105469,37.93000030517578,37.560001373291016,37.56999969482422,37.56999969482422,212023
2018-03-15,37.56999969482422,37.65999984741211,37.47999954223633,37.65999984741211,37.65999984741211,151881
2018-03-16,37.560001373291016,37.83000183105469,37.52000045776367,37.70000076293945,37.70000076293945,147289
2018-03-19,37.54999923706055,37.560001373291016,36.79999923706055,36.84000015258789,36.84000015258789,165404
2018-03-20,36.900001525878906,37.08000183105469,36.84000015258789,37.0099983215332,37.0099983215332,141698
2018-03-21,36.959999084472656,37.0,36.720001220703125,36.970001220703125,36.970001220703125,235620
2018-03-22,36.15999984741211,36.2400016784668,35.880001068115234,36.11000061035156,36.11000061035156,241777
2018-03-23,35.540000915527344,35.599998474121094,35.2400016784668,35.310001373291016,35.310001373291016,440358
2018-03-26,35.150001525878906,35.209999084472656,34.720001220703125,34.81999969482422,34.81999969482422,362756
2018-03-27,35.65999984741211,36.029998779296875,35.59000015258789,35.68000030517578,35.68000030517578,270191
2018-03-28,35.029998779296875,35.2599983215332,34.81999969482422,35.04999923706055,35.04999923706055,276077
2018-03-29,35.27000045776367,35.72999954223633,35.22999954223633,35.61000061035156,35.61000061035156,394639
2018-04-03,34.900001525878906,35.13999938964844,34.84000015258789,35.06999969482422,35.06999969482422,466853
2018-04-04,35.130001068115234,35.150001525878906,34.630001068115234,35.150001525878906,35.150001525878906,419594
2018-04-05,35.88999938964844,36.27000045776367,35.849998474121094,36.27000045776367,36.27000045776367,272271
2018-04-06,35.86000061035156,35.88999938964844,35.43000030517578,35.4900016784668,35.4900016784668,272632
2018-04-09,35.36000061035156,35.5,35.099998474121094,35.5,35.5,272068
2018-04-10,35.63999938964844,35.68000030517578,35.349998474121094,35.650001525878906,35.650001525878906,367990
2018-04-11,35.349998474121094,35.470001220703125,35.16999816894531,35.400001525878906,35.400001525878906,188362
2018-04-12,35.43000030517578,35.7400016784668,35.400001525878906,35.599998474121094,35.599998474121094,118609
2018-04-13,35.560001373291016,35.709999084472656,35.380001068115234,35.459999084472656,35.459999084472656,143466
2018-04-16,35.529998779296875,35.56999969482422,35.400001525878906,35.470001220703125,35.470001220703125,177086
2018-04-17,35.619998931884766,35.959999084472656,35.529998779296875,35.91999816894531,35.91999816894531,142133
2018-04-18,36.0099983215332,36.34000015258789,36.0099983215332,36.2599983215332,36.2599983215332,244000
2018-04-19,36.22999954223633,36.29999923706055,35.959999084472656,36.040000915527344,36.040000915527344,134814
2018-04-20,36.369998931884766,36.459999084472656,36.150001525878906,36.150001525878906,36.150001525878906,151180
2018-04-23,36.2400016784668,36.52000045776367,36.18000030517578,36.5099983215332,36.5099983215332,331089
2018-04-24,36.5,36.630001068115234,36.220001220703125,36.33000183105469,36.33000183105469,251519
2018-04-25,35.79999923706055,35.91999816894531,35.56999969482422,35.869998931884766,35.869998931884766,139487
2018-04-26,36.0099983215332,36.29999923706055,35.95000076293945,36.2599983215332,36.2599983215332,104992
2018-04-27,36.47999954223633,36.91999816894531,36.47999954223633,36.779998779296875,36.779998779296875,133779
2018-04-30,36.9900016784668,37.130001068115234,36.900001525878906,36.91999816894531,36.91999816894531,151416
2018-05-01,36.650001525878906,36.84000015258789,36.619998931884766,36.779998779296875,36.779998779296875,135091
2018-05-02,37.04999923706055,37.060001373291016,36.88999938964844,37.0099983215332,37.0099983215332,141526
